OperadOR,Pais_Accidente,Cantidad de rutas,all_aboard,cantidad de fallecidos,desconocido,errores_humanos,fallas_gestion_trafico,fallos_equipos,problemas_disenio,problemas_fabricacion,problemas_mantenimiento,problemas_meteorologicos,Hora,año,maña,noch,tard,unknown_Hour,Mes
Aeroflot /Military - Russian,Venezuela,1,40,40,0,0,0,0,0,0,0,0,7,1981,1,0,0,0,9
Military - U.S. Air Force,United States,1,70,7,1,0,0,0,0,0,0,0,0,1981,0,0,0,1,9
Military - Turkish Air Force,Türkiye,1,0,0,1,0,0,0,0,0,0,0,12,1981,0,0,1,0,9
Military - Iranian Air Force,Iran,1,80,60,0,1,0,0,0,0,0,0,19,1981,0,0,1,0,9
Sky Train Air,United States,1,3,3,0,0,0,0,0,0,0,1,15,1981,0,0,1,0,10
NLM (Nederlandse Luchtvaart Maatschappij),The Netherlands,1,17,17,0,0,0,0,1,0,0,1,17,1981,0,0,1,0,10
Oefag Flugdienst,Austria,1,9,9,0,1,0,0,0,0,0,0,0,1981,0,0,0,1,10
Aerolineas Argo,United States,1,5,5,1,0,0,0,0,0,0,0,18,1981,0,0,1,0,10
Cameroon Airlines,Cameroon,1,24,1,0,1,0,0,0,0,0,0,0,1981,0,0,0,1,10
Aeromexico,Mexico,1,18,18,0,1,0,1,0,0,0,0,0,1981,0,0,0,1,11
Aeroflot,Russia,1,167,99,0,1,0,1,0,0,0,0,19,1981,0,0,1,0,11
Royal Nepal Airlines,Nepal,1,10,10,0,0,0,0,0,0,0,0,0,1981,0,0,0,1,11
Guyana Airways,Saint Lucia,1,3,3,0,0,0,1,0,0,0,0,0,1981,0,0,0,1,11
Inex Adria Aviopromet (Yugoslavia),France,3,180,180,0,1,1,0,0,0,0,1,8,1981,1,0,0,0,12
Private - Parajump air show,United States,1,12,11,0,1,0,0,0,0,0,0,19,1981,0,0,1,0,12
Bristow Helicopters,Brunei,1,12,12,1,0,0,0,0,0,0,0,0,1981,0,0,0,1,12
ACES Colombia,Colombia,1,13,13,1,0,0,0,0,0,0,0,13,1981,0,0,1,0,12
Aeroflot,Russia,1,18,18,0,0,1,0,0,0,0,0,0,1982,0,0,0,1,1
Air Florida,United States,1,79,74,0,1,1,1,0,0,0,1,16,1982,0,0,1,0,1
Military - Ethiopian Air Force,Ethiopia,1,73,73,0,1,0,0,0,0,0,0,0,1982,0,0,0,1,1
Tarom,Romania,1,7,7,0,0,0,1,0,0,0,0,0,1982,0,0,0,1,1
Military - French Air Force,in,1,35,35,0,1,0,0,0,0,0,0,7,1982,1,0,0,0,2
Military - Republic of South Korea Air Force,korea,1,53,53,0,1,0,0,0,0,0,1,15,1982,0,0,1,0,2
Military - Indian Air Force,India,1,23,23,0,0,0,0,0,0,0,1,0,1982,0,0,0,1,2
Trans Air Services,Philippines,1,32,3,1,0,0,0,0,0,0,0,0,1982,0,0,0,1,2
Japan Air Lines,Japan,1,174,24,0,1,0,1,0,0,1,0,8,1982,1,0,0,0,2
LAC Columbia,Colombia,1,4,4,0,1,0,0,0,0,0,0,0,1982,0,0,0,1,2
Pilgrim Airlines,United States,1,12,1,0,1,0,1,1,0,1,0,15,1982,0,0,1,0,2
Wideroe's Flyveselksap,Norway,1,15,15,0,1,0,1,0,0,0,1,13,1982,0,0,1,0,3
Military - U.S. Air Force,United States,1,27,27,0,1,1,1,0,0,1,0,21,1982,0,1,0,0,3
Private,United States,1,3,3,0,1,0,0,1,0,0,0,10,1982,1,0,0,0,3
Garuda Indonesia Airlines,Indonesia,1,27,27,0,1,0,1,0,0,0,1,0,1982,0,0,0,1,3
Aeropesca Colombia,Colombia,1,21,21,0,1,0,0,0,0,0,1,0,1982,0,0,0,1,3
Air Taxi - Tundra Copters,United States,1,3,3,0,1,0,0,0,0,0,1,17,1982,0,0,1,0,4
Military - U.S. Air Force,Türkiye,1,27,27,0,1,0,1,1,0,0,0,14,1982,0,0,1,0,4
CAAC,China,2,112,112,0,1,0,0,0,0,0,1,16,1982,0,0,1,0,4
Okanagan Helicopters,Gulf of Thailand,1,13,13,1,0,0,0,0,0,0,0,0,1982,0,0,0,1,4
Alyemda,Yemen,1,49,47,0,1,0,0,0,0,0,0,0,1982,0,0,0,1,5
Military - U.S. Air Force,United States,1,7,7,0,0,0,0,1,0,0,0,0,1982,0,0,0,1,5
Military - Royal British Navy,South Atlantic,1,30,21,0,0,0,1,0,0,0,1,19,1982,0,0,1,0,5
VASP,Brazil,1,118,2,0,1,0,0,0,0,1,1,0,1982,0,0,0,1,5
Pelita Air Service,Indonesia,1,10,10,1,0,0,0,0,0,0,0,0,1982,0,0,0,1,5
Military - Republic of South Korea Air Force,korea,1,53,53,0,0,0,0,0,0,0,1,14,1982,0,0,1,0,6
VASP,Brazil,1,137,137,0,1,0,1,0,0,0,1,2,1982,1,0,0,0,6
TABA,Brazil,1,44,44,0,1,0,0,0,0,0,1,0,1982,0,0,0,1,6
Air India,India,1,111,17,0,1,0,1,0,0,1,0,4,1982,1,0,0,0,6
Aeroflot,Russia,1,132,132,0,0,0,1,0,0,0,0,10,1982,1,0,0,0,6
Air Affaires Gabon,Gabon,1,12,12,0,0,0,0,0,0,0,0,0,1982,0,0,0,1,7
