fecha,HORA declarada,OperadOR,Pais_Accidente,Cantidad de rutas,all_aboard,cantidad de fallecidos,Cause,Cause_Category,desconocido,errores_humanos,fallas_gestion_trafico,fallos_equipos,problemas_disenio,problemas_fabricacion,problemas_mantenimiento,problemas_meteorologicos
1998-12-17,00:00:00,Zanex,Angola,1,10,1,['unknown'],desconocido,1,0,0,0,0,0,0,0
1998-12-22,00:15:00,SELVA,Colombia,1,5,5,"['fog', 'land', 'visibility']",problemas_meteorologicos;errores_humanos;problemas_meteorologicos,0,1,0,0,0,0,0,1
1998-12-26,12:00:00,Transafrik,Angola,1,14,14,['dense'],problemas_meteorologicos,0,0,0,0,0,0,0,1
1999-01-02,00:00:00,Transafrik - United Nations Charter,Angola,1,9,9,"['shot', 'takeoff']",errores_humanos,0,1,0,0,0,0,0,0
1999-01-12,17:00:00,Channel Express,United Kingdom,2,2,2,"['approach', 'assumed', 'stalled']",errores_humanos;errores_humanos;fallos_equipos,0,1,0,1,0,0,0,0
1999-01-13,00:00:00,Military - German Air National Guard,Deutschland,1,4,4,['stalled'],fallos_equipos,0,0,0,1,0,0,0,0
1999-01-13,06:33:00,Kelowna Flightcraft Air Charter,Canada,2,2,2,"['awareness', 'cliff', 'night', 'trees', 'visual']",errores_humanos;errores_humanos;problemas_meteorologicos;problemas_meteorologicos;problemas_meteorologicos,0,1,0,0,0,0,0,1
1999-01-16,14:30:00,Uzu Air,Australia,2,4,3,"['approach', 'climb', 'engine', 'power']",errores_humanos;problemas_disenio;fallos_equipos;problemas_mantenimiento,0,1,0,1,1,0,1,0
1999-01-21,08:10:00,Fuerza Aérea Nicaragua,Nicaragua,1,28,28,"['landing', 'mountainous']",errores_humanos;errores_humanos,0,1,0,0,0,0,0,0
1999-02-02,05:08:00,Savannair,Angola,1,14,14,['engine'],fallos_equipos,0,0,0,1,0,0,0,0
1999-02-03,10:20:00,Airlink,Papua Niugini,1,11,11,"['broke', 'weather']",problemas_mantenimiento;problemas_meteorologicos,0,0,0,0,0,0,1,1
1999-02-08,00:00:00,Air Karibu,Democratic Republic of Congo,1,7,7,"['airport', 'engine']",fallas_gestion_trafico;fallos_equipos,0,0,1,1,0,0,0,0
1999-02-24,16:34:00,China Southwest Airlines,China,1,61,61,"['airport', 'approach', 'explode', 'system']",fallas_gestion_trafico;errores_humanos;fallos_equipos;fallos_equipos,0,1,1,1,0,0,0,0
1999-02-25,12:30:00,Minerva Airlines,Italia,1,31,4,['winds'],problemas_meteorologicos,0,0,0,0,0,0,0,1
1999-03-07,08:23:00,Military - Indian Air Force,India,1,19,19,"['airport', 'burned', 'exploded', 'fog', 'landing', 'power']",fallas_gestion_trafico;fallos_equipos;fallos_equipos;problemas_meteorologicos;errores_humanos;problemas_mantenimiento,0,1,1,1,0,0,1,1
1999-03-18,16:05:00,ALIANSA Colombia,Colombia,1,8,8,['wreckage'],fallos_equipos,0,0,0,1,0,0,0,0
1999-03-19,09:45:00,Provincial Airlines,Canada,2,2,1,"['approach', 'ice', 'visual']",errores_humanos;problemas_meteorologicos;problemas_meteorologicos,0,1,0,0,0,0,0,1
